app_id: 0, app_name: SAR_api-aarch64, task_id: 54, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160822197731, ref_stop_time: 253160822286531, actual_exe_time: 88800, task_app_start_time:253160102210455, task_sched_time:253160822185971
app_id: 0, app_name: SAR_api-aarch64, task_id: 55, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160822615511, ref_stop_time: 253160822705751, actual_exe_time: 90240, task_app_start_time:253160102210455, task_sched_time:253160822610801
app_id: 0, app_name: SAR_api-aarch64, task_id: 56, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160823151971, ref_stop_time: 253160823226281, actual_exe_time: 74310, task_app_start_time:253160102210455, task_sched_time:253160823090351
app_id: 0, app_name: SAR_api-aarch64, task_id: 57, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160823553221, ref_stop_time: 253160823657441, actual_exe_time: 104220, task_app_start_time:253160102210455, task_sched_time:253160823550491
app_id: 0, app_name: SAR_api-aarch64, task_id: 58, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160823810711, ref_stop_time: 253160823880791, actual_exe_time: 70080, task_app_start_time:253160102210455, task_sched_time:253160823806631
app_id: 0, app_name: SAR_api-aarch64, task_id: 59, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160824541661, ref_stop_time: 253160824658601, actual_exe_time: 116940, task_app_start_time:253160102210455, task_sched_time:253160824433721
app_id: 0, app_name: SAR_api-aarch64, task_id: 60, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160825034862, ref_stop_time: 253160825124082, actual_exe_time: 89220, task_app_start_time:253160102210455, task_sched_time:253160825028082
app_id: 0, app_name: SAR_api-aarch64, task_id: 61, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160825450062, ref_stop_time: 253160825539342, actual_exe_time: 89280, task_app_start_time:253160102210455, task_sched_time:253160825441242
app_id: 0, app_name: SAR_api-aarch64, task_id: 62, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160825837992, ref_stop_time: 253160825911672, actual_exe_time: 73680, task_app_start_time:253160102210455, task_sched_time:253160825832742
app_id: 0, app_name: SAR_api-aarch64, task_id: 63, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160826322822, ref_stop_time: 253160826426232, actual_exe_time: 103410, task_app_start_time:253160102210455, task_sched_time:253160826319702
app_id: 0, app_name: SAR_api-aarch64, task_id: 64, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160826659752, ref_stop_time: 253160826728002, actual_exe_time: 68250, task_app_start_time:253160102210455, task_sched_time:253160826653842
app_id: 0, app_name: SAR_api-aarch64, task_id: 65, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160827268002, ref_stop_time: 253160827385062, actual_exe_time: 117060, task_app_start_time:253160102210455, task_sched_time:253160827211332
app_id: 0, app_name: SAR_api-aarch64, task_id: 66, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160827764082, ref_stop_time: 253160827853392, actual_exe_time: 89310, task_app_start_time:253160102210455, task_sched_time:253160827753702
app_id: 0, app_name: SAR_api-aarch64, task_id: 67, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160827994902, ref_stop_time: 253160828084152, actual_exe_time: 89250, task_app_start_time:253160102210455, task_sched_time:253160827991242
app_id: 0, app_name: SAR_api-aarch64, task_id: 68, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160828746042, ref_stop_time: 253160828819662, actual_exe_time: 73620, task_app_start_time:253160102210455, task_sched_time:253160828621662
app_id: 0, app_name: SAR_api-aarch64, task_id: 69, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160829149512, ref_stop_time: 253160829253342, actual_exe_time: 103830, task_app_start_time:253160102210455, task_sched_time:253160829144832
app_id: 0, app_name: SAR_api-aarch64, task_id: 70, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160829585532, ref_stop_time: 253160829655612, actual_exe_time: 70080, task_app_start_time:253160102210455, task_sched_time:253160829579622
app_id: 0, app_name: SAR_api-aarch64, task_id: 71, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160830047862, ref_stop_time: 253160830166182, actual_exe_time: 118320, task_app_start_time:253160102210455, task_sched_time:253160830043962
app_id: 0, app_name: SAR_api-aarch64, task_id: 72, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160830534762, ref_stop_time: 253160830635292, actual_exe_time: 100530, task_app_start_time:253160102210455, task_sched_time:253160830532152
app_id: 0, app_name: SAR_api-aarch64, task_id: 73, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160830962713, ref_stop_time: 253160831059823, actual_exe_time: 97110, task_app_start_time:253160102210455, task_sched_time:253160830953443
app_id: 0, app_name: SAR_api-aarch64, task_id: 74, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160831508563, ref_stop_time: 253160831582723, actual_exe_time: 74160, task_app_start_time:253160102210455, task_sched_time:253160831457473
app_id: 0, app_name: SAR_api-aarch64, task_id: 75, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160831900213, ref_stop_time: 253160832005093, actual_exe_time: 104880, task_app_start_time:253160102210455, task_sched_time:253160831895563
app_id: 0, app_name: SAR_api-aarch64, task_id: 76, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160832335033, ref_stop_time: 253160832403463, actual_exe_time: 68430, task_app_start_time:253160102210455, task_sched_time:253160832329513
app_id: 0, app_name: SAR_api-aarch64, task_id: 77, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160832811013, ref_stop_time: 253160832928103, actual_exe_time: 117090, task_app_start_time:253160102210455, task_sched_time:253160832797003
app_id: 0, app_name: SAR_api-aarch64, task_id: 78, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160833218023, ref_stop_time: 253160833307633, actual_exe_time: 89610, task_app_start_time:253160102210455, task_sched_time:253160833204613
app_id: 0, app_name: SAR_api-aarch64, task_id: 79, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160833710143, ref_stop_time: 253160833800413, actual_exe_time: 90270, task_app_start_time:253160102210455, task_sched_time:253160833706813
app_id: 0, app_name: SAR_api-aarch64, task_id: 80, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160834093003, ref_stop_time: 253160834166953, actual_exe_time: 73950, task_app_start_time:253160102210455, task_sched_time:253160834088473
app_id: 0, app_name: SAR_api-aarch64, task_id: 81, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160834591963, ref_stop_time: 253160834696423, actual_exe_time: 104460, task_app_start_time:253160102210455, task_sched_time:253160834581943
app_id: 0, app_name: SAR_api-aarch64, task_id: 82, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160834936663, ref_stop_time: 253160835005243, actual_exe_time: 68580, task_app_start_time:253160102210455, task_sched_time:253160834927213
app_id: 0, app_name: SAR_api-aarch64, task_id: 83, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160835487823, ref_stop_time: 253160835605063, actual_exe_time: 117240, task_app_start_time:253160102210455, task_sched_time:253160835483863
app_id: 0, app_name: SAR_api-aarch64, task_id: 84, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160835892433, ref_stop_time: 253160835989663, actual_exe_time: 97230, task_app_start_time:253160102210455, task_sched_time:253160835879143
app_id: 0, app_name: SAR_api-aarch64, task_id: 85, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 253160836399313, ref_stop_time: 253160836489103, actual_exe_time: 89790, task_app_start_time:253160102210455, task_sched_time:253160836392083
app_id: 0, app_name: SAR_api-aarch64, task_id: 86, task_name: DASH_ZIP, resource_name: cpu3, ref_start_time: 253160836889363, ref_stop_time: 253160836963403, actual_exe_time: 74040, task_app_start_time:253160102210455, task_sched_time:253160836885313
app_id: 0, app_name: SAR_api-aarch64, task_id: 87, task_name: DASH_FFT, resource_name: fft1, ref_start_time: 253160837193504, ref_stop_time: 253160837297034, actual_exe_time: 103530, task_app_start_time:253160102210455, task_sched_time:253160837189934
app_id: 0, app_name: SAR_api-aarch64, task_id: 88, task_name: DASH_FFT, resource_name: fft2, ref_start_time: 253160837703894, ref_stop_time: 253160837772504, actual_exe_time: 68610, task_app_start_time:253160102210455, task_sched_time:253160837695854
app_id: 0, app_name: SAR_api-aarch64, task_id: 89, task_name: DASH_ZIP, resource_name: zip1, ref_start_time: 253160837978094, ref_stop_time: 253160838097434, actual_exe_time: 119340, task_app_start_time:253160102210455, task_sched_time:253160837932194
app_id: 0, app_name: SAR_api-aarch64, task_id: 90, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 253160838677604, ref_stop_time: 253160838768804, actual_exe_time: 91200, task_app_start_time:253160102210455, task_sched_time:253160838665184
