app_id: 0, app_name: TX_api-x86, task_id: 50, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002729601272, ref_stop_time: 98002729610537, actual_exe_time: 9265, task_app_start_time:98002692625431, task_sched_time:98002729556421
app_id: 0, app_name: TX_api-x86, task_id: 51, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002731523926, ref_stop_time: 98002731531916, actual_exe_time: 7990, task_app_start_time:98002692625431, task_sched_time:98002731522013
app_id: 0, app_name: TX_api-x86, task_id: 52, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002731665367, ref_stop_time: 98002731674483, actual_exe_time: 9116, task_app_start_time:98002692625431, task_sched_time:98002731663575
app_id: 0, app_name: TX_api-x86, task_id: 53, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002731852454, ref_stop_time: 98002731861141, actual_exe_time: 8687, task_app_start_time:98002692625431, task_sched_time:98002731807721
app_id: 0, app_name: TX_api-x86, task_id: 54, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002731946048, ref_stop_time: 98002731954308, actual_exe_time: 8260, task_app_start_time:98002692625431, task_sched_time:98002731944757
app_id: 0, app_name: TX_api-x86, task_id: 55, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002732087464, ref_stop_time: 98002732095564, actual_exe_time: 8100, task_app_start_time:98002692625431, task_sched_time:98002732086093
app_id: 0, app_name: TX_api-x86, task_id: 56, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002732271107, ref_stop_time: 98002732279564, actual_exe_time: 8457, task_app_start_time:98002692625431, task_sched_time:98002732228070
app_id: 0, app_name: TX_api-x86, task_id: 57, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002732368765, ref_stop_time: 98002732376038, actual_exe_time: 7273, task_app_start_time:98002692625431, task_sched_time:98002732367243
app_id: 0, app_name: TX_api-x86, task_id: 58, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002732509776, ref_stop_time: 98002732517858, actual_exe_time: 8082, task_app_start_time:98002692625431, task_sched_time:98002732508226
app_id: 0, app_name: TX_api-x86, task_id: 59, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002732692336, ref_stop_time: 98002732700913, actual_exe_time: 8577, task_app_start_time:98002692625431, task_sched_time:98002732645469
app_id: 0, app_name: TX_api-x86, task_id: 60, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002737214616, ref_stop_time: 98002737222671, actual_exe_time: 8055, task_app_start_time:98002692625431, task_sched_time:98002737213374
app_id: 0, app_name: TX_api-x86, task_id: 61, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002737980186, ref_stop_time: 98002737989250, actual_exe_time: 9064, task_app_start_time:98002692625431, task_sched_time:98002737978921
app_id: 0, app_name: TX_api-x86, task_id: 62, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002738167144, ref_stop_time: 98002738175911, actual_exe_time: 8767, task_app_start_time:98002692625431, task_sched_time:98002738121999
app_id: 0, app_name: TX_api-x86, task_id: 63, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002738267061, ref_stop_time: 98002738275037, actual_exe_time: 7976, task_app_start_time:98002692625431, task_sched_time:98002738265603
app_id: 0, app_name: TX_api-x86, task_id: 64, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002738397729, ref_stop_time: 98002738405730, actual_exe_time: 8001, task_app_start_time:98002692625431, task_sched_time:98002738396068
app_id: 0, app_name: TX_api-x86, task_id: 65, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002738575513, ref_stop_time: 98002738584195, actual_exe_time: 8682, task_app_start_time:98002692625431, task_sched_time:98002738531816
app_id: 0, app_name: TX_api-x86, task_id: 66, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002738672222, ref_stop_time: 98002738679353, actual_exe_time: 7131, task_app_start_time:98002692625431, task_sched_time:98002738671052
app_id: 0, app_name: TX_api-x86, task_id: 67, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002738807387, ref_stop_time: 98002738816044, actual_exe_time: 8657, task_app_start_time:98002692625431, task_sched_time:98002738805560
app_id: 0, app_name: TX_api-x86, task_id: 68, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002738988819, ref_stop_time: 98002738997670, actual_exe_time: 8851, task_app_start_time:98002692625431, task_sched_time:98002738943497
app_id: 0, app_name: TX_api-x86, task_id: 69, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002739086975, ref_stop_time: 98002739094112, actual_exe_time: 7137, task_app_start_time:98002692625431, task_sched_time:98002739085424
app_id: 0, app_name: TX_api-x86, task_id: 70, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002741724893, ref_stop_time: 98002741733355, actual_exe_time: 8462, task_app_start_time:98002692625431, task_sched_time:98002741722950
app_id: 0, app_name: TX_api-x86, task_id: 71, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002744427864, ref_stop_time: 98002744437588, actual_exe_time: 9724, task_app_start_time:98002692625431, task_sched_time:98002744367671
app_id: 0, app_name: TX_api-x86, task_id: 72, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002744519249, ref_stop_time: 98002744528182, actual_exe_time: 8933, task_app_start_time:98002692625431, task_sched_time:98002744517962
app_id: 0, app_name: TX_api-x86, task_id: 73, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002744658495, ref_stop_time: 98002744666302, actual_exe_time: 7807, task_app_start_time:98002692625431, task_sched_time:98002744657359
app_id: 0, app_name: TX_api-x86, task_id: 74, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002744835146, ref_stop_time: 98002744843944, actual_exe_time: 8798, task_app_start_time:98002692625431, task_sched_time:98002744791715
app_id: 0, app_name: TX_api-x86, task_id: 75, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002744929283, ref_stop_time: 98002744936571, actual_exe_time: 7288, task_app_start_time:98002692625431, task_sched_time:98002744927716
app_id: 0, app_name: TX_api-x86, task_id: 76, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002745068091, ref_stop_time: 98002745076432, actual_exe_time: 8341, task_app_start_time:98002692625431, task_sched_time:98002745066581
app_id: 0, app_name: TX_api-x86, task_id: 77, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002745267960, ref_stop_time: 98002745276790, actual_exe_time: 8830, task_app_start_time:98002692625431, task_sched_time:98002745214278
app_id: 0, app_name: TX_api-x86, task_id: 78, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002745355897, ref_stop_time: 98002745363011, actual_exe_time: 7114, task_app_start_time:98002692625431, task_sched_time:98002745354125
app_id: 0, app_name: TX_api-x86, task_id: 79, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002745491746, ref_stop_time: 98002745499667, actual_exe_time: 7921, task_app_start_time:98002692625431, task_sched_time:98002745490371
app_id: 0, app_name: TX_api-x86, task_id: 80, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 98002748156652, ref_stop_time: 98002748165532, actual_exe_time: 8880, task_app_start_time:98002692625431, task_sched_time:98002748111373
app_id: 0, app_name: TX_api-x86, task_id: 81, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 98002750741895, ref_stop_time: 98002750749891, actual_exe_time: 7996, task_app_start_time:98002692625431, task_sched_time:98002750740316
app_id: 0, app_name: TX_api-x86, task_id: 82, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 98002750883592, ref_stop_time: 98002750892033, actual_exe_time: 8441, task_app_start_time:98002692625431, task_sched_time:98002750881773
